symbol,signal_time,entry_time,expiration_minutes,action,pattern,score,entry_price,exit_time,exit_price,result
EURUSD,2026-09-15T15:17:00+00:00,2026-09-15T15:18:00+00:00,1,PUT,BEARISH_CANDLE,32,1.1543,2026-09-15T15:19:00+00:00,1.15433,LOSS
EURUSD,2026-09-15T15:17:00+00:00,2026-09-15T15:18:00+00:00,2,PUT,BEARISH_CANDLE,32,1.1543,2026-09-15T15:20:00+00:00,1.15434,LOSS
EURUSD,2026-09-15T15:17:00+00:00,2026-09-15T15:18:00+00:00,3,PUT,BEARISH_CANDLE,32,1.1543,2026-09-15T15:21:00+00:00,1.15441,LOSS
EURUSD,2026-09-15T15:17:00+00:00,2026-09-15T15:18:00+00:00,5,PUT,BEARISH_CANDLE,32,1.1543,2026-09-15T15:23:00+00:00,1.15435,LOSS
EURUSD,2026-09-15T15:17:00+00:00,2026-09-15T15:18:00+00:00,10,PUT,BEARISH_CANDLE,32,1.1543,2026-09-15T15:28:00+00:00,1.15455,LOSS
EURUSD,2026-09-15T15:17:00+00:00,2026-09-15T15:18:00+00:00,15,PUT,BEARISH_CANDLE,32,1.1543,2026-09-15T15:33:00+00:00,1.15426,WIN
EURUSD,2026-09-15T15:19:00+00:00,2026-09-15T15:20:00+00:00,1,CALL,BULLISH_BREAKOUT,29,1.15434,2026-09-15T15:21:00+00:00,1.15441,WIN
EURUSD,2026-09-15T15:19:00+00:00,2026-09-15T15:20:00+00:00,2,CALL,BULLISH_BREAKOUT,29,1.15434,2026-09-15T15:22:00+00:00,1.15433,LOSS
EURUSD,2026-09-15T15:19:00+00:00,2026-09-15T15:20:00+00:00,3,CALL,BULLISH_BREAKOUT,29,1.15434,2026-09-15T15:23:00+00:00,1.15435,WIN
EURUSD,2026-09-15T15:19:00+00:00,2026-09-15T15:20:00+00:00,5,CALL,BULLISH_BREAKOUT,29,1.15434,2026-09-15T15:25:00+00:00,1.15454,WIN
EURUSD,2026-09-15T15:19:00+00:00,2026-09-15T15:20:00+00:00,10,CALL,BULLISH_BREAKOUT,29,1.15434,2026-09-15T15:30:00+00:00,1.15441,WIN
EURUSD,2026-09-15T15:19:00+00:00,2026-09-15T15:20:00+00:00,15,CALL,BULLISH_BREAKOUT,29,1.15434,2026-09-15T15:35:00+00:00,1.15426,LOSS
EURUSD,2026-09-15T15:20:00+00:00,2026-09-15T15:21:00+00:00,1,CALL,BULLISH_REJECTION,40,1.15441,2026-09-15T15:22:00+00:00,1.15433,LOSS
EURUSD,2026-09-15T15:20:00+00:00,2026-09-15T15:21:00+00:00,2,CALL,BULLISH_REJECTION,40,1.15441,2026-09-15T15:23:00+00:00,1.15435,LOSS
EURUSD,2026-09-15T15:20:00+00:00,2026-09-15T15:21:00+00:00,3,CALL,BULLISH_REJECTION,40,1.15441,2026-09-15T15:24:00+00:00,1.1545,WIN
EURUSD,2026-09-15T15:20:00+00:00,2026-09-15T15:21:00+00:00,5,CALL,BULLISH_REJECTION,40,1.15441,2026-09-15T15:26:00+00:00,1.1545,WIN
EURUSD,2026-09-15T15:20:00+00:00,2026-09-15T15:21:00+00:00,10,CALL,BULLISH_REJECTION,40,1.15441,2026-09-15T15:31:00+00:00,1.15441,DRAW
EURUSD,2026-09-15T15:20:00+00:00,2026-09-15T15:21:00+00:00,15,CALL,BULLISH_REJECTION,40,1.15441,2026-09-15T15:36:00+00:00,1.15429,LOSS
EURUSD,2026-09-15T15:21:00+00:00,2026-09-15T15:22:00+00:00,1,CALL,BULLISH_BREAKOUT,41,1.15433,2026-09-15T15:23:00+00:00,1.15435,WIN
EURUSD,2026-09-15T15:21:00+00:00,2026-09-15T15:22:00+00:00,2,CALL,BULLISH_BREAKOUT,41,1.15433,2026-09-15T15:24:00+00:00,1.1545,WIN
EURUSD,2026-09-15T15:21:00+00:00,2026-09-15T15:22:00+00:00,3,CALL,BULLISH_BREAKOUT,41,1.15433,2026-09-15T15:25:00+00:00,1.15454,WIN
EURUSD,2026-09-15T15:21:00+00:00,2026-09-15T15:22:00+00:00,5,CALL,BULLISH_BREAKOUT,41,1.15433,2026-09-15T15:27:00+00:00,1.15454,WIN
EURUSD,2026-09-15T15:21:00+00:00,2026-09-15T15:22:00+00:00,10,CALL,BULLISH_BREAKOUT,41,1.15433,2026-09-15T15:32:00+00:00,1.15444,WIN
EURUSD,2026-09-15T15:21:00+00:00,2026-09-15T15:22:00+00:00,15,CALL,BULLISH_BREAKOUT,41,1.15433,2026-09-15T15:37:00+00:00,1.15419,LOSS
EURUSD,2026-09-15T15:22:00+00:00,2026-09-15T15:23:00+00:00,1,CALL,BEARISH_ENGULFING,25,1.15435,2026-09-15T15:24:00+00:00,1.1545,WIN
EURUSD,2026-09-15T15:22:00+00:00,2026-09-15T15:23:00+00:00,2,CALL,BEARISH_ENGULFING,25,1.15435,2026-09-15T15:25:00+00:00,1.15454,WIN
EURUSD,2026-09-15T15:22:00+00:00,2026-09-15T15:23:00+00:00,3,CALL,BEARISH_ENGULFING,25,1.15435,2026-09-15T15:26:00+00:00,1.1545,WIN
EURUSD,2026-09-15T15:22:00+00:00,2026-09-15T15:23:00+00:00,5,CALL,BEARISH_ENGULFING,25,1.15435,2026-09-15T15:28:00+00:00,1.15455,WIN
EURUSD,2026-09-15T15:22:00+00:00,2026-09-15T15:23:00+00:00,10,CALL,BEARISH_ENGULFING,25,1.15435,2026-09-15T15:33:00+00:00,1.15426,LOSS
EURUSD,2026-09-15T15:22:00+00:00,2026-09-15T15:23:00+00:00,15,CALL,BEARISH_ENGULFING,25,1.15435,2026-09-15T15:38:00+00:00,1.15411,LOSS
EURUSD,2026-09-15T15:23:00+00:00,2026-09-15T15:24:00+00:00,1,CALL,BULLISH_CANDLE,29,1.1545,2026-09-15T15:25:00+00:00,1.15454,WIN
EURUSD,2026-09-15T15:23:00+00:00,2026-09-15T15:24:00+00:00,2,CALL,BULLISH_CANDLE,29,1.1545,2026-09-15T15:26:00+00:00,1.1545,DRAW
