time,open,high,low,close,isOpen,tickVolume
2026-09-15 12:54:00+00:00,154.9045,154.9275,154.8965,154.9205,False,77.0
2026-09-15 12:55:00+00:00,154.9215,154.9575,154.8945,154.9285,False,102.0
2026-09-15 12:56:00+00:00,154.9245,154.9545,154.9205,154.9535,False,95.0
2026-09-15 12:57:00+00:00,154.9445,154.9545,154.9375,154.9395,False,71.0
2026-09-15 12:58:00+00:00,154.9405,154.9585,154.9375,154.9535,False,49.0
2026-09-15 12:59:00+00:00,154.9515,154.9845,154.9505,154.9695,False,39.0
2026-09-15 13:00:00+00:00,154.9715,154.9745,154.9265,154.9425,False,89.0
2026-09-15 13:01:00+00:00,154.9395,154.9545,154.9235,154.9265,False,70.0
2026-09-15 13:02:00+00:00,154.9255,154.9395,154.9185,154.9185,False,64.0
2026-09-15 13:03:00+00:00,154.9135,154.9355,154.9115,154.9275,False,65.0
2026-09-15 13:04:00+00:00,154.9255,154.9275,154.9025,154.9025,False,54.0
2026-09-15 13:05:00+00:00,154.9035,154.9265,154.8935,154.9265,False,61.0
2026-09-15 13:06:00+00:00,154.9245,154.9365,154.9225,154.9345,False,65.0
2026-09-15 13:07:00+00:00,154.9385,154.9485,154.9275,154.9405,False,51.0
2026-09-15 13:08:00+00:00,154.9375,154.9525,154.9265,154.9355,False,50.0
2026-09-15 13:09:00+00:00,154.9345,154.9345,154.9165,154.9195,False,61.0
2026-09-15 13:10:00+00:00,154.9225,154.9325,154.9185,154.9225,False,46.0
2026-09-15 13:11:00+00:00,154.9205,154.9295,154.9205,154.9265,False,42.0
2026-09-15 13:12:00+00:00,154.9275,154.9365,154.9135,154.9295,False,51.0
2026-09-15 13:13:00+00:00,154.9315,154.9665,154.9295,154.9645,False,53.0
2026-09-15 13:14:00+00:00,154.9655,154.9655,154.9505,154.9635,False,29.0
2026-09-15 13:15:00+00:00,154.9625,154.9665,154.9335,154.9525,False,66.0
2026-09-15 13:16:00+00:00,154.9515,154.9515,154.9385,154.9435,False,64.0
2026-09-15 13:17:00+00:00,154.9395,154.9495,154.9345,154.9355,False,56.0
2026-09-15 13:18:00+00:00,154.9345,154.9445,154.9205,154.9435,False,59.0
2026-09-15 13:19:00+00:00,154.9425,154.9475,154.9295,154.9325,False,45.0
2026-09-15 13:20:00+00:00,154.9345,154.9495,154.9255,154.9435,False,46.0
2026-09-15 13:21:00+00:00,154.9385,154.9825,154.9305,154.9635,False,66.0
2026-09-15 13:22:00+00:00,154.9615,155.0335,154.9565,155.0285,False,132.0
2026-09-15 13:23:00+00:00,155.0295,155.0355,155.0015,155.0185,False,81.0
2026-09-15 13:24:00+00:00,155.0195,155.0375,155.0055,155.0065,False,61.0
2026-09-15 13:25:00+00:00,155.0055,155.0235,155.0055,155.0155,False,56.0
2026-09-15 13:26:00+00:00,155.0185,155.0405,155.0185,155.0305,False,63.0
2026-09-15 13:27:00+00:00,155.0295,155.0575,155.0265,155.0495,False,67.0
2026-09-15 13:28:00+00:00,155.0525,155.0625,155.0455,155.0485,False,56.0
2026-09-15 13:29:00+00:00,155.0465,155.0645,155.0415,155.0625,False,62.0
2026-09-15 13:30:00+00:00,155.0605,155.0975,155.0575,155.0925,False,112.0
2026-09-15 13:31:00+00:00,155.0905,155.1105,155.0765,155.0965,False,95.0
2026-09-15 13:32:00+00:00,155.0985,155.1425,155.0985,155.1385,False,96.0
2026-09-15 13:33:00+00:00,155.1345,155.1365,155.1155,155.1225,False,60.0
2026-09-15 13:34:00+00:00,155.1235,155.1635,155.1235,155.1595,False,77.0
2026-09-15 13:35:00+00:00,155.1585,155.1685,155.1075,155.1075,False,78.0
2026-09-15 13:36:00+00:00,155.1065,155.1095,155.0705,155.0765,False,74.0
2026-09-15 13:37:00+00:00,155.0735,155.0945,155.0725,155.0855,False,68.0
2026-09-15 13:38:00+00:00,155.0885,155.0925,155.0485,155.0615,False,56.0
2026-09-15 13:39:00+00:00,155.0635,155.1065,155.0615,155.0985,False,56.0
2026-09-15 13:40:00+00:00,155.0905,155.0905,155.0675,155.0815,False,67.0
2026-09-15 13:41:00+00:00,155.0835,155.0855,155.0565,155.0645,False,66.0
2026-09-15 13:42:00+00:00,155.0635,155.0665,155.0495,155.0545,False,58.0
2026-09-15 13:43:00+00:00,155.0525,155.0705,155.0265,155.0265,False,62.0
2026-09-15 13:44:00+00:00,155.0295,155.0325,155.0135,155.0225,False,63.0
2026-09-15 13:45:00+00:00,155.0235,155.0315,155.0105,155.0235,False,63.0
2026-09-15 13:46:00+00:00,155.0215,155.0535,155.0125,155.0125,False,72.0
2026-09-15 13:47:00+00:00,155.0115,155.0175,154.9965,155.0105,False,55.0
2026-09-15 13:48:00+00:00,155.0135,155.0315,155.0035,155.0315,False,62.0
2026-09-15 13:49:00+00:00,155.0345,155.0375,155.0155,155.0155,False,56.0
2026-09-15 13:50:00+00:00,155.0165,155.0325,155.0045,155.0055,False,50.0
2026-09-15 13:51:00+00:00,155.0035,155.0085,154.9735,154.9755,False,57.0
2026-09-15 13:52:00+00:00,154.9745,154.9815,154.9465,154.9665,False,72.0
2026-09-15 13:53:00+00:00,154.9675,154.9805,154.9575,154.9575,False,61.0
2026-09-15 13:54:00+00:00,154.9535,154.9575,154.9315,154.9535,False,69.0
2026-09-15 13:55:00+00:00,154.9505,154.9505,154.9255,154.9365,False,60.0
